2025/06/27 17:33:51 [error] 20#20: *17 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /favicon.ico HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/install/index.php"
2025/06/27 18:19:31 [error] 522#522: *25 open() "/var/www/html/assets/images/slide1.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide1.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/"
2025/06/27 18:19:31 [error] 522#522: *27 open() "/var/www/html/assets/images/slide2.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide2.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/"
2025/06/27 18:19:31 [error] 522#522: *25 open() "/var/www/html/assets/images/slide3.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide3.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/"
2025/06/27 18:19:31 [error] 522#522: *27 open() "/var/www/html/assets/images/wechat-qr.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/wechat-qr.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/"
2025/06/27 18:27:39 [error] 522#522: *60 open() "/var/www/html/assets/images/slide1.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide1.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/index.php"
2025/06/27 18:27:39 [error] 522#522: *62 open() "/var/www/html/assets/images/slide2.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide2.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/index.php"
2025/06/27 18:27:39 [error] 522#522: *62 open() "/var/www/html/assets/images/slide3.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide3.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/index.php"
2025/06/27 18:27:39 [error] 522#522: *60 open() "/var/www/html/assets/images/wechat-qr.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/wechat-qr.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/index.php"
2025/06/27 18:28:29 [error] 522#522: *60 open() "/var/www/html/assets/images/slide1.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide1.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/index.php"
2025/06/27 18:28:29 [error] 522#522: *62 open() "/var/www/html/assets/images/slide2.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide2.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/index.php"
2025/06/27 18:28:29 [error] 522#522: *62 open() "/var/www/html/assets/images/slide3.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide3.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/index.php"
2025/06/27 18:28:29 [error] 522#522: *60 open() "/var/www/html/assets/images/wechat-qr.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/wechat-qr.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/index.php"
2025/06/27 18:28:38 [error] 522#522: *60 open() "/var/www/html/assets/images/slide1.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide1.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/index.php"
2025/06/27 18:28:38 [error] 522#522: *62 open() "/var/www/html/assets/images/slide2.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide2.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/index.php"
2025/06/27 18:28:38 [error] 522#522: *62 open() "/var/www/html/assets/images/slide3.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide3.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/index.php"
2025/06/27 18:28:38 [error] 522#522: *60 open() "/var/www/html/assets/images/wechat-qr.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/wechat-qr.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/index.php"
2025/06/27 18:29:47 [error] 522#522: *60 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/index.php"
2025/06/27 18:29:54 [error] 522#522: *60 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:29:54 [error] 522#522: *79 open() "/var/www/html/assets/images/wechat-qr.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/wechat-qr.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:29:54 [error] 522#522: *79 open() "/var/www/html/assets/images/slide1.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide1.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:29:54 [error] 522#522: *60 open() "/var/www/html/assets/images/slide2.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide2.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:29:54 [error] 523#523: *81 open() "/var/www/html/assets/images/slide3.jpg" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/slide3.jpg HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
2025/06/27 18:30:24 [error] 523#523: *81 open() "/var/www/html/assets/images/avatar.png" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /assets/images/avatar.png HTTP/1.1", host: "localhost:19999", referrer: "http://localhost:19999/home/settings.php"
